,지역,장애노인_1인가구_추정수,장애아동_인구수,장애인취업자,미수급자
396,중구_동화동,72,18,48.0,30.0
397,중구_명동,21,1,14.0,9.0
398,중구_신당5동,81,6,55.0,34.0
399,중구_신당동,67,6,45.0,28.0
400,중구_약수동,143,12,96.0,60.0
401,중구_장충동,33,5,22.0,14.0
402,중구_중림동,87,17,59.0,37.0
403,중구_청구동,106,17,71.0,44.0
404,중구_필동,30,7,20.0,13.0
405,중구_황학동,84,12,56.0,35.0
406,중구_회현동,51,2,34.0,21.0
407,중랑구_망우3동,161,16,6.0,52.0
408,중랑구_망우본동,299,55,11.0,96.0
409,중랑구_면목2동,209,38,8.0,68.0
410,중랑구_면목3.8동,216,32,8.0,69.0
411,중랑구_면목4동,212,27,8.0,69.0
412,중랑구_면목5동,107,29,4.0,34.0
413,중랑구_면목7동,175,17,6.0,57.0
414,중랑구_면목본동,284,27,10.0,91.0
415,중랑구_묵1동,249,49,9.0,80.0
416,중랑구_묵2동,156,22,6.0,50.0
417,중랑구_상봉1동,235,34,9.0,75.0
418,중랑구_상봉2동,142,13,5.0,45.0
419,중랑구_신내1동,322,81,12.0,104.0
420,중랑구_신내2동,250,32,9.0,81.0
421,중랑구_중화1동,158,30,6.0,51.0
422,중랑구_중화2동,252,35,9.0,81.0
423,중구_소공동,6,0,4.0,3.0
424,중구_을지로동,15,0,10.0,6.0
425,강동구_둔촌1동,1,0,0.0,1.0
