,구,동,계,비율,장애인취업자,대상자_수,수급자_수
258,성동구,성수2가3동,421.0,0.03730946473,7.0,73.0,44.0
259,성동구,송정동,512.0,0.04537398086,9.0,89.0,54.0
260,성동구,용답동,633.0,0.05609712868,11.0,110.0,66.0
261,성동구,성수1가2동,464.0,0.04112017015,8.0,80.0,49.0
262,성동구,금호1가동,664.0,0.05884438143,12.0,115.0,70.0
263,성북구,월곡2동,897.0,0.05160510873,9.0,165.0,105.0
264,성북구,장위1동,1169.0,0.06725348061,12.0,216.0,136.0
265,성북구,장위2동,726.0,0.04176734553,7.0,134.0,85.0
266,성북구,길음1동,1024.0,0.05891151766,10.0,189.0,119.0
267,성북구,성북동,548.0,0.03152686687,5.0,101.0,64.0
268,성북구,삼선동,857.0,0.04930387757,8.0,158.0,100.0
269,성북구,길음2동,620.0,0.03566908296,6.0,114.0,72.0
270,성북구,장위3동,609.0,0.03503624439,6.0,112.0,71.0
271,성북구,안암동,554.0,0.03187205155,5.0,102.0,65.0
272,성북구,월곡1동,1176.0,0.06765619606,12.0,217.0,137.0
273,성북구,정릉3동,709.0,0.04078932229,7.0,131.0,83.0
274,성북구,정릉2동,957.0,0.05505695547,9.0,177.0,112.0
275,성북구,정릉1동,664.0,0.03820043723,7.0,123.0,77.0
276,성북구,보문동,597.0,0.03434587504,6.0,110.0,70.0
277,성북구,돈암2동,680.0,0.0391209297,7.0,125.0,79.0
278,성북구,돈암1동,609.0,0.03503624439,6.0,112.0,71.0
279,성북구,종암동,1607.0,0.0924519618,16.0,296.0,187.0
280,성북구,석관동,1765.0,0.1015418249,17.0,326.0,206.0
281,성북구,동선동,555.0,0.03192958233,5.0,102.0,65.0
282,성북구,정릉4동,1059.0,0.06092509493,10.0,195.0,123.0
283,송파구,가락2동,932.0,0.04578502653,43.0,193.0,113.0
284,송파구,문정1동,550.0,0.02701906072,25.0,114.0,66.0
285,송파구,문정2동,529.0,0.02598742386,24.0,110.0,64.0
286,송파구,잠실본동,764.0,0.03753193162,35.0,158.0,92.0
287,송파구,잠실4동,437.0,0.02146787188,20.0,90.0,53.0
288,송파구,잠실3동,690.0,0.03389663981,32.0,143.0,83.0
289,송파구,잠실7동,218.0,0.01070937316,10.0,45.0,26.0
290,송파구,석촌동,1006.0,0.04942031833,46.0,208.0,122.0
291,송파구,장지동,1322.0,0.06494399686,61.0,274.0,160.0
