,구,동,계,비율
330,동작구,사당1동,783.0,0.05431088299
331,동작구,사당3동,759.0,0.05264618159
332,동작구,사당4동,581.0,0.04029964625
333,동작구,사당5동,518.0,0.03592980509
334,동작구,대방동,1553.0,0.1077200527
335,동작구,신대방1동,819.0,0.05680793508
336,동작구,신대방2동,746.0,0.05174446834
337,동작구,흑석동,1100.0,0.0762988139
338,동작구,노량진1동,1246.0,0.08642574738
339,동작구,사당2동,919.0,0.06374419089
341,관악구,보라매동,1106.0,0.05472267577
342,관악구,청림동,664.0,0.03285339667
343,관악구,행운동,1056.0,0.05224877542
344,관악구,낙성대동,461.0,0.02280936124
345,관악구,중앙동,597.0,0.02953837019
346,관악구,인헌동,911.0,0.0450744644
347,관악구,남현동,554.0,0.02741081589
348,관악구,서원동,784.0,0.03879075751
349,관악구,신원동,854.0,0.042254218
350,관악구,서림동,886.0,0.04383751422
351,관악구,신사동,930.0,0.04601454653
352,관악구,신림동,553.0,0.02736133789
353,관악구,난향동,676.0,0.03344713275
354,관악구,조원동,702.0,0.03473356093
355,관악구,대학동,748.0,0.03700954926
356,관악구,은천동,1653.0,0.08178714561
357,관악구,성현동,1423.0,0.070407204
358,관악구,청룡동,1120.0,0.05541536787
359,관악구,난곡동,1647.0,0.08149027757
360,관악구,삼성동,1441.0,0.07129780812
361,관악구,미성동,1445.0,0.07149572015
363,서초구,서초1동,476.0,0.04625400836
364,서초구,서초2동,453.0,0.04401904577
365,서초구,서초3동,735.0,0.07142163055
366,서초구,서초4동,472.0,0.04586531921
367,서초구,잠원동,507.0,0.04926634924
368,서초구,반포본동,30.0,0.002915168594
369,서초구,반포1동,612.0,0.05946943932
370,서초구,반포2동,234.0,0.02273831503
371,서초구,반포3동,367.0,0.03566222913
372,서초구,반포4동,357.0,0.03469050627
373,서초구,방배본동,473.0,0.0459624915
374,서초구,방배1동,476.0,0.04625400836
375,서초구,방배2동,676.0,0.06568846565
376,서초구,방배3동,415.0,0.04032649888
377,서초구,방배4동,596.0,0.05791468273
378,서초구,양재1동,1896.0,0.1842386551
379,서초구,양재2동,681.0,0.06617432708
380,서초구,내곡동,835.0,0.0811388592
382,강남구,신사동,396.0,0.02608351996
383,강남구,논현1동,548.0,0.0360953761
384,강남구,논현2동,510.0,0.03359241207
385,강남구,삼성1동,291.0,0.01916743512
386,강남구,삼성2동,573.0,0.03774206297
387,강남구,대치1동,282.0,0.01857462785
388,강남구,대치4동,392.0,0.02582005006
389,강남구,역삼1동,728.0,0.04795152154
390,강남구,역삼2동,636.0,0.04189171387
391,강남구,도곡1동,380.0,0.02502964036
392,강남구,도곡2동,488.0,0.03214332762
393,강남구,개포1동,213.0,0.0140297721
394,강남구,개포4동,623.0,0.0410354367
395,강남구,일원본동,708.0,0.04663417205
396,강남구,일원1동,1082.0,0.07126860756
397,강남구,일원2동,1179.0,0.0776577526
398,강남구,수서동,2115.0,0.1393097089
399,강남구,세곡동,1942.0,0.1279146358
400,강남구,압구정동,498.0,0.03280200237
401,강남구,청담동,486.0,0.03201159268
402,강남구,대치2동,584.0,0.03846660519
403,강남구,개포2동,528.0,0.03477802661
